	Token	Tag	Annotation_ID	Multi_Token_Annotation
121	mit	O	none	0
122	,	O	none	0
123	,	O	none	0
124	übergelaufen	B-Bewegung-ALT	CBC524AC-6C4E-4AD6-8528-5AD2CC33A4CF	1
125	vergaß	O	none	0
126	Favoriten	O	none	0
127	man	O	none	0
128	mein	O	none	0
129	blieb	O	none	0
130	was	O	none	0
131	Kognak	O	none	0
132	,	O	none	0
133	meiner	O	none	0
134	Manteltasche	O	none	0
135	ich	O	none	0
136	(	O	none	0
137	der	O	none	0
138	wie	O	none	0
139	bloß	O	none	0
140	zu	O	none	0
141	Lässigkeit	O	none	0
142	bezahlen	B-Bewegung-Subjekt	2E07CA36-478E-4FD8-ADE7-D1F1E7BBCA70	1
143	,	O	none	0
144	Alkohol	O	none	0
145	Bahnhof	B-Dimensionierung-Abstand	021E90E0-8E14-4F57-81E8-4F4F013A7D72	12
146	;	O	none	0
147	dieser	O	none	0
148	die	O	none	0
149	,	O	none	0
150	an	O	none	0
151	der	O	none	0
152	,	O	none	0
153	erfordert	O	none	0
154	,	O	none	0
155	die	O	none	0
156	aus	B-Richtung-ALT	8CE1662E-C0EA-451E-8F63-6CE1063261EB	1
157	dritten	O	none	0
158	großzügiger	O	none	0
159	«	O	none	0
160	eine	O	none	0
161	;	O	none	0
162	Telefon	O	none	0
163	der	O	none	0
164	auf	B-Positionierung	C72F4455-8622-4E27-9091-2E5DAFA5E392	1
165	«	O	none	0
166	mich	O	none	0
167	ankam	B-Bewegung-Subjekt	940CC68F-0D75-4892-AAE6-112C7FEAF387	1
168	unter	B-Richtung	1D178DCF-AA3C-4280-811E-C1C865BB212A	1
169	aus	B-Richtung	6AFE9229-8142-40F0-9583-BB89222781C8	1
170	kann	O	none	0
171	wir	O	none	0
172	betrunken	O	none	0
173	rief	B-Bewegung-Schall	2366CE5D-85C9-4D42-9905-86C265619BA1	1
174	war	O	none	0
175	hinten	B-Positionierung	1E0B2F4D-D944-4168-97E0-FCE15471A424	1
176	sagte	B-Bewegung-Schall	E2185459-34C7-40FD-885C-2593127E19D9	1
177	Mainz	B-Ort-ALT	E2424296-995D-4928-A332-1A3B19272DC5	1
178	indem	O	none	0
179	,	O	none	0
180	,	O	none	0
181	reichte	O	none	0
182	dieser	O	none	0
183	Bahnhof	B-Ort-Container	D42BE08B-E4F6-4D56-AEC9-5427D99BF473	1
184	einmal	O	none	0
185	«	O	none	0
186	Zukunft	O	none	0
187	)	O	none	0
188	Eine	O	none	0
189	und	O	none	0
190	als	O	none	0
191	er	O	none	0
192	in	B-Positionierung-ALT	A36ED83B-D1DA-47C2-B112-1834F787F4CF	1
193	Heftigkeit	O	none	0
194	katholische	O	none	0
195	Kaffee	O	none	0
196	,	O	none	0
197	nach	B-Richtung	5F3AA211-9337-4634-A1C1-DC18AD2FEF6F	1
198	einem	O	none	0
199	.	O	none	0
200	sparen	O	none	0
201	Telegramm	O	none	0
202	geben	B-Bewegung-Subjekt	41D45AB0-38B4-4677-BE1F-085E795B84B5	1
203	Marie	O	none	0
204	und	O	none	0
205	helfen	O	none	0
206	:	O	none	0
207	.	O	none	0
208	:	O	none	0
209	geworden	O	none	0
210	zu	O	none	0
211	mich	O	none	0
212	vor	B-Positionierung-ALT	0B2CEE6E-304A-4BA9-9907-6F1620674F8D	1
213	raffte	B-Bewegung-Subjekt	A15F5AC2-EDB7-4C8D-A80F-0716E90121E2	2
214	und	O	none	0
215	,	O	none	0
216	,	O	none	0
217	Bühne	B-Ort-Container-BK	0DC5CCE7-FC40-476D-97EB-9AF0EC575BEF	1
218	zu	O	none	0
219	,	O	none	0
220	Fahrkarte	O	none	0
221	ausgerechnet	O	none	0
222	Katholiken	O	none	0
223	ich	O	none	0
224	bei	O	none	0
225	nur	O	none	0
226	Abendzeitungen	O	none	0
227	Nummer	O	none	0
228	:	O	none	0
229	das	O	none	0
230	zu	B-Bewegung-Schall	1C230609-95FE-486F-BA91-B03B4F63C4C5	2
231	Bahnhof	B-Ort-Container-BK	47673F6D-8C4B-4594-A6C0-DCE3AD9ED583	1
232	,	O	none	0
233	steuerpflichtig	O	none	0
234	dem	O	none	0
235	von	B-Richtung	7FEBDC2B-C197-40B5-93A4-54097B8BBDF9	1
236	und	O	none	0
237	gemacht	B-Bewegung-ALT	5E5316A7-DA17-4344-B59A-F5E6619A24DF	1
238	Veilchenpastillen	O	none	0
239	,	O	none	0
240	Wege	B-Ort-ALT	4CCC1B60-D28C-48E4-AE29-5B5FED8DBEA4	1
241	eine	O	none	0
242	,	O	none	0
243	,	O	none	0
244	wo	O	none	0
245	Absage	O	none	0
246	und	O	none	0
247	 	O	none	0
248	viel	B-Dimensionierung-Menge	D31745D2-6E26-4B4E-99DB-5028669C9C45	1
249	fiel	B-Bewegung-Objekt	1B4C4193-EB27-4082-A3C6-CA366721D218	1
250	folgendes	O	none	0
251	kann	O	none	0
252	läßt	O	none	0
253	einer	O	none	0
254	und	O	none	0
255	Brauchen	O	none	0
256	.	O	none	0
257	verlieren	O	none	0
258	,	O	none	0
259	sich	O	none	0
260	die	O	none	0
261	Phantasie	O	none	0
262	Verlegenheit	O	none	0
263	betrete	B-Bewegung-Subjekt	CE364CE7-29DB-4098-B007-837BB185D685	1
264	Ankunft	O	none	0
265	,	O	none	0
266	christlichen	O	none	0
267	drei	O	none	0
268	an	O	none	0
269	Vereine	O	none	0
270	ich	O	none	0
271	und	O	none	0
272	:	O	none	0
273	einmal	O	none	0
274	ab	B-Bewegung-Subjekt	198782BF-A0FE-4612-A278-71776010767F	2
275	vorübergehend	O	none	0
276	Zohnerer	O	none	0
277	,	O	none	0
278	ganz	O	none	0
279	Taxi	B-Ort-Container	000C52F0-7AED-4111-8091-25393BAF0563	1
280	er	O	none	0
281	wohl	O	none	0
282	,	O	none	0
283	in	B-Positionierung	EBFA74DD-1C3C-4A96-ABCA-CD553777A9DF	1
284	Sie	O	none	0
285	stürze	B-Bewegung-Subjekt	911B4872-3528-484E-8B65-1C1805CB3743	1
286	Nachdenken	O	none	0
287	über	B-Richtung	B3794FD8-CDF3-4121-8A58-4D312E1F47C7	1
288	der	O	none	0
289	keine	O	none	0
290	schieben	B-Bewegung-Subjekt	764A9017-56E0-476A-B272-28C260FA98B7	2
291	nach	B-Richtung	F903064B-CD35-4EAB-9287-F02572AE9083	1
292	würde	O	none	0
293	den	O	none	0
294	außerdem	O	none	0
295	liturgischen	O	none	0
296	.	O	none	0
297	Klasse	O	none	0
298	»	O	none	0
299	am	B-Positionierung	285023CD-6437-4BF5-B230-5EDF4B98BBFD	1
300	denen	O	none	0
301	,	O	none	0
302	und	O	none	0
303	vom	B-Richtung	111C9D01-2062-4022-A8D8-39E63BCB2746	1
304	,	O	none	0
305	daß	O	none	0
306	telegrafisch	O	none	0
307	bißchen	O	none	0
308	»	O	none	0
309	,	O	none	0
310	und	O	none	0
311	.	O	none	0
312	auf	B-Positionierung	8A63CD40-6319-42CA-8CCE-B31B75C0D39F	1
313	,	O	none	0
314	liegt	O	none	0
315	mitleidiges	O	none	0
316	mir	O	none	0
317	»	O	none	0
318	klein	B-Dimensionierung-ALT	8433EF12-0E98-4515-9B68-79111976B012	1
319	bis	O	none	0
320	uns	O	none	0
321	\n	O	none	0
322	ausschaue	B-Bewegung-Licht	5542ED74-AF98-49AD-BFD9-7987D9C2B7FF	1
323	jetzt	O	none	0
324	Herr	O	none	0
325	Erinnerung	O	none	0
326	respektiert	O	none	0
327	Honorar	O	none	0
328	sich	O	none	0
329	kennt	O	none	0
330	«	O	none	0
331	,	O	none	0
332	sind	O	none	0
333	war	O	none	0
334	besten	O	none	0
335	in	B-Richtung-ALT	D7DB68B8-F206-4A3C-B3E2-BDC52361A94D	1
336	etwas	O	none	0
337	und	O	none	0
338	mit	B-Positionierung	78E204DE-CD00-4FB1-B241-41CB5986C663	1
339	meinen	O	none	0
340	Situation	O	none	0
341	\n	O	none	0
342	für	O	none	0
343	erfuhr	O	none	0
344	erfuhr	O	none	0
345	,	O	none	0
346	der	O	none	0
347	Sensibilität	O	none	0
348	sollten	O	none	0
349	,	O	none	0
350	ja	O	none	0
351	fünf	O	none	0
352	Bad	B-Ort-Container	F5750D1D-79D4-4BF6-AE38-DC1764425CF4	1
353	die	O	none	0
354	,	O	none	0
355	.	O	none	0
356	fast	O	none	0
357	ihm	O	none	0
358	ein	O	none	0
359	Kopfschmerzen	O	none	0
360	das	O	none	0
361	sich	O	none	0
362	Ich	O	none	0
363	Tantum	O	none	0
364	mechanischer	O	none	0
365	mich	O	none	0
366	«	O	none	0
367	«	O	none	0
368	ich	O	none	0
369	nicht	O	none	0
370	,	O	none	0
371	entdecke	B-Bewegung-Licht	4952126B-8037-437D-AF5B-C60E8BD37A9B	1
372	,	O	none	0
373	geworden	O	none	0
374	den	O	none	0
375	.	O	none	0
376	wir	O	none	0
377	vor	B-Bewegung-ALT	C0388DD5-1B33-4057-97E4-9898F2DB9A4A	2
378	mich	O	none	0
379	leer	O	none	0
380	mir	O	none	0
381	Drittel	O	none	0
382	,	O	none	0
383	der	O	none	0
384	und	O	none	0
385	Bewegungen	O	none	0
386	einmal	O	none	0
387	damals	O	none	0
388	nachmittags	O	none	0
389	mäßig	O	none	0
390	,	O	none	0
391	unterlaufen	B-Bewegung-ALT	4D34E991-0450-41B9-90BB-F175C78D23E1	1
392	kirchlich	O	none	0
393	den	O	none	0
394	Ich	O	none	0
395	zum	B-Richtung	919A1EB0-D949-4EE6-8F6F-0685CF3EB1EC	1
396	diese	O	none	0
397	,	O	none	0
398	Auch	O	none	0
399	wie	O	none	0
400	,	O	none	0
401	bei	O	none	0
402	es	O	none	0
403	grünen	O	none	0
404	,	O	none	0
405	und	O	none	0
406	in	B-Positionierung	CD543F86-92E6-46E2-AA0D-F49BF21A3D83	1
407	erwähnen	B-Bewegung-Schall	E3C75FAF-090D-43F3-BCA0-6CFF83651720	1
408	Frühstück	O	none	0
409	ausschließlich	O	none	0
410	Hören	B-Bewegung-Schall	77BD77E5-F53E-45D8-A241-17A91A054E9B	1
411	\n	O	none	0
412	eine	O	none	0
413	«	O	none	0
414	fürchterliche	O	none	0
415	Kein	O	none	0
416	habe	O	none	0
417	Briefumschlag	O	none	0
418	»	O	none	0
419	Auch	O	none	0
420	befördern	B-Bewegung-Subjekt	9DAF9CC8-9C1D-43C3-A638-F664E6FA3E75	1
421	Zum	O	none	0
422	hielten	B-Bewegung-ALT	DA9124C1-DC5C-426C-917D-94AB9C998AEA	2
423	(	O	none	0
424	Koblenz	B-Ort-ALT	5C499FCB-ACC3-4D2F-AF0E-4BF11CE5F143	1
425	schlief	O	none	0
426	sich	O	none	0
427	nichts	O	none	0
428	.	O	none	0
429	in	O	none	0
430	Mark	O	none	0
431	dann	O	none	0
432	und	O	none	0
433	auf	B-Richtung	93320BF6-DE0E-4E5C-AD03-CE76E9F0FE56	1
434	evangelische	O	none	0
435	und	O	none	0
436	–	O	none	0
437	Knie	O	none	0
438	sagte	B-Bewegung-Schall	5BFF8E42-3414-4C15-917A-5F4742D34B8F	1
439	,	O	none	0
440	,	O	none	0
441	erster	O	none	0
442	,	O	none	0
443	ergo	O	none	0
444	Sequenzen	O	none	0
445	eine	O	none	0
446	Klamotten	O	none	0
447	Alarmstufe	O	none	0
448	er	O	none	0
449	bin	O	none	0
450	häufig	O	none	0
451	,	O	none	0
452	Weg	B-Richtung	8248AAA2-968E-4413-BE73-AFF903E12142	1
453	können	O	none	0
454	Schnaps	O	none	0
455	 	O	none	0
456	ich	O	none	0
457	mir	O	none	0
458	und	O	none	0
459	Jahre	O	none	0
460	sagte	B-Bewegung-Schall	AE6A20CC-4DE4-4C77-B177-B8DDA575D10B	1
461	eine	O	none	0
462	Schnaps	O	none	0
463	sagte	B-Bewegung-Schall	C21E790C-FFAE-4C5A-9B05-8191F018240D	1
464	.	O	none	0
465	und	O	none	0
466	Schloß	B-Ort-Container	3566BAB7-D44F-4BAD-BACC-E67320C7455C	1
467	So	O	none	0
468	 	O	none	0
469	Haar	O	none	0
470	«	O	none	0
471	Bildungswerk	O	none	0
472	verfalle	B-Bewegung-ALT	9E7F778C-F0FA-4C9F-9BBA-B25E958F911E	1
473	werden	O	none	0
474	zu	O	none	0
475	übrigens	O	none	0
476	den	O	none	0
477	noch	O	none	0
478	,	O	none	0
479	eine	O	none	0
480	auf	I-Bewegung-Subjekt	A5716A58-C752-4AF5-A120-05F85370A6BE	2
481	Schnaps	O	none	0
482	ich	O	none	0
483	Tür	B-Ort-Objekt-BK	B6FF575C-4AB6-4737-9601-70977364C257	1
484	:	O	none	0
485	Zimmernummer	O	none	0
486	als	O	none	0
487	kann	O	none	0
488	war	O	none	0
489	religiös	O	none	0
490	wir	O	none	0
491	irgendwie	O	none	0
492	Trinkgeld	O	none	0
493	ein	O	none	0
494	Koblenz	B-Ort-ALT	422B7A9C-A261-4C58-956D-AC815CFF1540	1
495	und	O	none	0
496	nicht	O	none	0
497	Er	O	none	0
498	Protestanten	O	none	0
499	lange	B-Dimensionierung-ALT	DCF8EB57-378D-4970-9D88-A4E12908F771	1
500	beruhigen	O	none	0
501	sagen	B-Bewegung-Schall	D3DCE026-8ADA-4552-9485-75782267F814	1
502	ich	O	none	0
503	hinter	B-Positionierung-ALT	25F4FAA2-F03A-418B-97B8-8F515289521B	1
504	Beleuchtung	O	none	0
505	auch	O	none	0
506	ich	O	none	0
507	und	O	none	0
508	bringt	B-Bewegung-Subjekt	01887046-42AC-4C72-AF56-DB4F44D0BBC4	1
509	,	O	none	0
510	im	O	none	0
511	alt	O	none	0
512	im	B-Positionierung	B744F8BC-14C9-4FE1-9EB4-FEB195EE47E7	1
513	zum	O	none	0
514	heftig	O	none	0
515	für	O	none	0
516	vier-	O	none	0
517	milde	O	none	0
518	,	O	none	0
519	,	O	none	0
520	,	O	none	0
521	,	O	none	0
522	machte	B-Bewegung-ALT	5818C145-2472-4161-87FF-2C994D794B66	1
523	Geschäft	B-Ort-ALT	5A2B0E7C-DD9C-42D0-94C0-14F218A651CD	1
524	Automatik	O	none	0
525	und	O	none	0
526	nennt	B-Bewegung-Schall	DA96C5B6-167F-4FB5-8F54-5F240B7F1FC1	1
527	einer	O	none	0
528	so	O	none	0
529	und	O	none	0
530	Taxi	B-Ort-Container-BK	244B7731-B490-4AF4-A29B-9C682E2C61E0	1
531	runter	B-Richtung	C5B31DB6-7D56-45FA-9FC2-CA4830352A11	1
532	)	O	none	0
533	,	O	none	0
534	im	B-Positionierung	A863E4A3-2579-4638-90F4-71E2AD4DC231	1
535	»	O	none	0
536	Taxi	B-Ort-Container	5BF86DE7-700E-43AB-BCBC-75A6C78E24AC	1
537	fünfzig	O	none	0
538	strenggläubige	O	none	0
539	,	O	none	0
540	Erniedrigung	O	none	0
541	.	O	none	0
542	.	O	none	0
543	annehmen	B-Bewegung-ALT	C2EEC933-B2E4-4E70-9E80-68EB101546AE	1
544	am	O	none	0
545	schwere	O	none	0
546	Keiferei	O	none	0
547	der	O	none	0
548	,	O	none	0
549	sie	O	none	0
550	,	O	none	0
551	,	O	none	0
552	ein	O	none	0
553	übergelaufen	B-Bewegung-ALT	EB9775D4-ADC9-4586-AAC2-AEB6C6981D60	1
554	Kostert	O	none	0
555	er	O	none	0
556	»	O	none	0
557	Stimme	O	none	0
558	Geld	O	none	0
559	an	O	none	0
560	auf	O	none	0
561	Eisigkeit	O	none	0
562	wie	O	none	0
563	(	O	none	0
564	schwieg	O	none	0
565	.	O	none	0
566	wenn	O	none	0
567	und	O	none	0
568	hörte	B-Bewegung-Schall	9BF33C5C-CC43-4784-B4CA-0FD85AD1EEB0	1
569	schon	O	none	0
570	man	O	none	0
571	Glück	O	none	0
572	mieser	O	none	0
573	stehe	O	none	0
574	und	O	none	0
575	kritische	O	none	0
576	roch	B-Bewegung-Geruch	8DCF9432-1D46-4749-B676-7F6FD41110D7	1
577	hinweg	O	none	0
578	lassen	O	none	0
579	,	O	none	0
580	ging	B-Bewegung-Subjekt	76C7B6F2-5D39-49DC-ADFB-123CDEF8461A	1
581	,	O	none	0
582	kam	B-Bewegung-ALT	594C1379-685E-4C7A-AC1C-23D2C5949250	2
583	rauf	B-Richtung	4116B4BA-81F7-43C7-9AA7-206B11AB6787	1
584	und	O	none	0
585	biertrinkende	B-Bewegung-Subjekt	953E724A-9CC6-4DA9-91C1-B195346D4278	1
586	deren	O	none	0
587	Herzliche	O	none	0
588	auf	B-Positionierung	47BC7488-BCEC-4017-A295-DB080D272AF6	1
589	,	O	none	0
590	hatte	B-Bewegung-ALT	AF0581DA-A516-439E-B32A-523B01EF58D5	1
591	:	O	none	0
592	Wir	O	none	0
593	Ich	O	none	0
594	Choräle	O	none	0
595	haben	O	none	0
596	Augenblick	O	none	0
597	.	O	none	0
598	Sie	O	none	0
599	rauf	B-Richtung	7CDA33B3-8E71-4DA5-BE54-D7F2BD18EBF5	1
600	.	O	none	0
601	gibt	O	none	0
602	mehr	O	none	0
603	nannten	B-Bewegung-ALT	4FC71B8A-9024-40BA-8BD8-F01185E8D538	1
604	höre	B-Bewegung-Schall	1B818DA6-C4C6-422E-BA09-3B2D92384623	1
605	in	O	none	0
606	mich	O	none	0
607	mit	O	none	0
608	.	O	none	0
609	und	O	none	0
610	sechshundert	O	none	0
611	meine	O	none	0
612	weil	O	none	0
613	ein	O	none	0
614	«	O	none	0
615	ihre	O	none	0
616	ohne	O	none	0
617	Bewegungen	O	none	0
618	,	O	none	0
619	Zug	B-Ort-Container	96CA2A56-3F0E-4997-A9A2-082F997CDC1A	1
620	.	O	none	0
621	sich	O	none	0
622	,	O	none	0
623	nach	B-Richtung	56C18595-9CB8-4418-9AA9-BEEAADFDB295	1
624	,	O	none	0
625	Ganze	O	none	0
626	als	O	none	0
627	und	O	none	0
628	,	O	none	0
629	Mönche	O	none	0
630	schleppte	B-Bewegung-Subjekt	6F9FDAB9-4D83-4CF6-B057-46BC2BABCADC	2
631	gesucht	B-Bewegung-Subjekt	A99E65FE-184B-45B2-9057-B8BEEADF8955	1
632	den	O	none	0
633	besser	O	none	0
634	und	O	none	0
635	«	O	none	0
636	bei	O	none	0
637	mir	O	none	0
638	Er	O	none	0
639	christlicher	O	none	0
640	einlaufen	B-Bewegung-Subjekt	2DA0A293-B3C4-4D60-8B49-66AE26A3847C	1
641	»	O	none	0
642	dem	O	none	0
643	selbst	O	none	0
644	.	O	none	0
645	Eigenschaft	O	none	0
646	hatte	O	none	0
647	Art	O	none	0
648	hinunterrenne	B-Bewegung-Subjekt	FC8A41CB-3F6D-48E7-A253-77AA1806ADBB	1
649	verlassen	B-Bewegung-ALT	621BBCB9-270A-46DE-A34E-180599681A9E	1
650	,	O	none	0
651	Herr	O	none	0
652	Stop	O	none	0
653	,	O	none	0
654	runter	B-Richtung	65747249-004D-46E2-85F1-448BBFA710E1	1
655	 	O	none	0
656	Vereinigung	O	none	0
657	ich	O	none	0
658	eigenen	O	none	0
659	Vorstellung	O	none	0
660	Zigarette	O	none	0
661	:	O	none	0
662	Agenten	O	none	0
663	gut	O	none	0
664	mir	O	none	0
665	von	O	none	0
666	Einverstanden	O	none	0
667	mehr	O	none	0
668	«	O	none	0
669	ob	O	none	0
670	abstellen	B-Bewegung-Subjekt	D094410B-8B7E-438A-9F1D-97485D289EC0	1
671	liegen	O	none	0
672	ich	O	none	0
673	,	O	none	0
674	ich	O	none	0
675	beiden	O	none	0
676	Lassen	O	none	0
677	,	O	none	0
678	gemeinnützigen	O	none	0
679	für	O	none	0
680	,	O	none	0
681	Aura	O	none	0
682	auf	O	none	0
683	kaufen	B-Bewegung-Subjekt	C7204990-F7C1-4D68-8107-61BF7CB0944C	1
684	herauszugeben	B-Bewegung-Subjekt	9918BAE3-9B2B-46E0-B833-679F3162D914	1
685	am	B-Positionierung	026580EE-7A14-4845-91EC-E5A8C0E45562	1
686	hübschen	O	none	0
687	,	O	none	0
688	unseriöse	O	none	0
689	–	O	none	0
690	zu	O	none	0
691	und	O	none	0
692	,	O	none	0
693	ich	O	none	0
694	war	O	none	0
695	anderes	O	none	0
696	nach	B-Richtung	CAA09078-1C13-4554-A82F-31F565BFA44A	1
697	gefragt	B-Bewegung-Schall	D2606470-B606-4DD4-A44E-30924DD493F4	1
698	für	O	none	0
699	Angst	O	none	0
700	Komiker	O	none	0
701	Umschlag	O	none	0
702	Variationsmöglichkeiten	O	none	0
703	als	O	none	0
704	«	O	none	0
705	doch	O	none	0
706	mich	O	none	0
707	;	O	none	0
708	einer	O	none	0
709	rutschte	B-Bewegung-Subjekt	9A0F13A2-DE7D-48A5-A5EF-3B3409671BD2	2
710	christ	O	none	0
711	rascher	O	none	0
712	manchmal	O	none	0
713	sechsundfünfzig	O	none	0
714	Pfennig	O	none	0
715	menschlicher	O	none	0
716	während	O	none	0
717	machen	B-Bewegung-ALT	FD40D80C-2B8C-458D-B4C4-F408FAFED599	1
718	«	O	none	0
719	.	O	none	0
720	,	O	none	0
721	Clown	O	none	0
722	auch	O	none	0
723	,	O	none	0
724	Nachkriegsmode	O	none	0
725	,	O	none	0
726	oder	O	none	0
727	.	O	none	0
728	,	O	none	0
729	mein	O	none	0
730	Schmerzbekämpfung	O	none	0
731	Hotel	B-Ort-Container-BK	C52537BB-0673-406B-B32C-5C5EA99C002F	1
732	,	O	none	0
733	ein	O	none	0
734	umgibt	O	none	0
735	Varietés	O	none	0
736	dauerhafte	O	none	0
737	ihre	O	none	0
738	,	O	none	0
739	Leiden	O	none	0
740	in	B-Positionierung	F8990F01-4810-498B-A0F5-5039E9318DED	1
741	zuvorgekommen	O	none	0
742	wieder	O	none	0
743	bezahlen	B-Bewegung-Subjekt	FE701B35-7332-4E16-9060-69F5092DFE3B	1
744	den	O	none	0
745	dem	O	none	0
746	weigerte	O	none	0
747	»	O	none	0
748	Marie	O	none	0
749	Lichts	O	none	0
750	immer	O	none	0
751	ist	O	none	0
752	Ich	O	none	0
753	zusammen	B-Bewegung-Subjekt	A15F5AC2-EDB7-4C8D-A80F-0716E90121E2	2
754	war	O	none	0
755	zu	O	none	0
756	»	O	none	0
757	Züpfner	O	none	0
758	helfen	O	none	0
759	er	O	none	0
760	,	O	none	0
761	drei	O	none	0
762	»	O	none	0
763	heiraten	O	none	0
764	nach	B-Richtung	A6ED6031-C67F-4C42-BEB9-4FEA841CC908	1
765	abgefahren	B-Bewegung-Subjekt	0E0947F1-CDC4-426A-BE83-41BF7E396CF7	1
766	,	O	none	0
767	irgendwo	B-Positionierung	23FE54FC-39A5-4A78-A234-3D7BD1D52291	1
768	sich	O	none	0
769	simplem	O	none	0
770	mit	O	none	0
771	gerechtfertigt	O	none	0
772	,	O	none	0
773	zu	O	none	0
774	man	O	none	0
775	Flasche	O	none	0
776	her	B-Bewegung-ALT	3B7A4F9B-A4AC-4C0E-862C-3069FD2D9DBF	2
777	:	O	none	0
778	abgesagt	O	none	0
779	wieder	O	none	0
780	,	O	none	0
781	recht	O	none	0
782	daß	O	none	0
783	die	O	none	0
784	Möglichkeiten	O	none	0
785	,	O	none	0
786	Reibungslosigkeit	O	none	0
787	Frieden	O	none	0
788	Marie	O	none	0
789	,	O	none	0
790	«	O	none	0
791	brauche	O	none	0
792	mich	O	none	0
793	er	O	none	0
794	«	O	none	0
795	vor	B-Positionierung	66F6EF59-4DBF-4DAE-9DBE-236A5D25B87E	1
796	,	O	none	0
797	kaufen	B-Bewegung-Subjekt	F0720162-7378-4E0D-B166-1E3695923EE4	1
798	.	O	none	0
799	eine	O	none	0
800	"\n					"	O	none	0
